item_name,text,type,answers,values,optional,
Instructions1,Choose one response that best describes how strongly each item applies to you:,instruct,,,,
sleep,I slept between my participation in the first and second part of the study.,likert,Yes|No,1|0,No,
sleep_hours,"If yes, how many hours did you approximately sleep in total between your first and second participation?",number,,,No,
test_known,"When watching the magic tricks, I was aware that my memory of them will be tested later.",likert,Definitely agree |Somehow agree|Slightly agree|Slightly disagree|Somehow disagree|Definitely disagree,6|5|4|3|2|1,No,
memory_intention,"When watching the magic tricks, I tried to encode them.",likert,Definitely agree |Somehow agree|Slightly agree|Slightly disagree|Somehow disagree|Definitely disagree,6|5|4|3|2|1,No,
reward_belief,"Please answer the following statement ONLY IF you have been offered <b>additional ÃÂ£0.80 bonus per correct answer</b>. If you have not been offered additional bonus, please select ""not applicable.""<p>Did you believe that you would receive a bonus payment based on your performance?</p>",likert,Definitely agree |Somehow agree|Slightly agree|Slightly disagree|Somehow disagree|Definitely disagree|Not applicable,6|5|4|3|2|1|999,No,
magictrick_experience,I have experiences in producing magic tricks.,likert,Very frequently | Frequently | Occasionally | Rarely | Very rarely | Never,6|5|4|3|2|1,No,
connection,There were no problems with the internet connection while I participated in the experiment.,likert,Definitely agree |Somehow agree|Slightly agree|Slightly disagree|Somehow disagree|Definitely disagree,6|5|4|3|2|1,No,
comment,Is there anything else you would like us to know?,text,,,Yes,
,,,,,,